Plate	Replicate	Temp	Sample	Treatment	Background	Time	FinalOD550
Plate1	A	37	WT_Ans	"Ancestor, WT"	WT	0	0.018
Plate1	B	37	WT_Ans	"Ancestor, WT"	WT	0	0.009
Plate1	C	37	WT_Ans	"Ancestor, WT"	WT	0	0.033
Plate1	D	37	WT_Ans	"Ancestor, WT"	WT	0	0.027
Plate1	E	37	WT_Ans	"Ancestor, WT"	WT	0	0.036
Plate1	F	37	WT_Ans	"Ancestor, WT"	WT	0	0.032
Plate1	G	37	WT_Ans	"Ancestor, WT"	WT	0	0.033
Plate1	H	37	WT_Ans	"Ancestor, WT"	WT	0	0.017
Plate1	A	37	WCT1_D90	"Tube, WT"	WT	90	0.206
Plate1	B	37	WCT1_D90	"Tube, WT"	WT	90	0.115
Plate1	C	37	WCT1_D90	"Tube, WT"	WT	90	0.147
Plate1	D	37	WCT1_D90	"Tube, WT"	WT	90	0.137
Plate1	E	37	WCT1_D90	"Tube, WT"	WT	90	0.155
Plate1	F	37	WCT1_D90	"Tube, WT"	WT	90	0.136
Plate1	G	37	WCT1_D90	"Tube, WT"	WT	90	0.164
Plate1	H	37	WCT1_D90	"Tube, WT"	WT	90	0.276
Plate1	A	37	WFL1_D90	"Flask, WT"	WT	90	0.049
Plate1	B	37	WFL1_D90	"Flask, WT"	WT	90	0.034
Plate1	C	37	WFL1_D90	"Flask, WT"	WT	90	0.042
Plate1	D	37	WFL1_D90	"Flask, WT"	WT	90	0.04
Plate1	E	37	WFL1_D90	"Flask, WT"	WT	90	0.045
Plate1	F	37	WFL1_D90	"Flask, WT"	WT	90	0.051
Plate1	G	37	WFL1_D90	"Flask, WT"	WT	90	0.047
Plate1	H	37	WFL1_D90	"Flask, WT"	WT	90	0.034
Plate1	A	37	FCT1_D90	"Tube, FimA-"	FimA	90	0.01
Plate1	B	37	FCT1_D90	"Tube, FimA-"	FimA	90	1.00E-05
Plate1	C	37	FCT1_D90	"Tube, FimA-"	FimA	90	0.013
Plate1	D	37	FCT1_D90	"Tube, FimA-"	FimA	90	0.004
Plate1	E	37	FCT1_D90	"Tube, FimA-"	FimA	90	0.01
Plate1	F	37	FCT1_D90	"Tube, FimA-"	FimA	90	0.008
Plate1	G	37	FCT1_D90	"Tube, FimA-"	FimA	90	0.016
Plate1	H	37	FCT1_D90	"Tube, FimA-"	FimA	90	0.008
Plate1	A	37	FFL1_D90	"Flask, FimA-"	FimA	90	0.012
Plate1	B	37	FFL1_D90	"Flask, FimA-"	FimA	90	0.007
Plate1	C	37	FFL1_D90	"Flask, FimA-"	FimA	90	0.011
Plate1	D	37	FFL1_D90	"Flask, FimA-"	FimA	90	0.012
Plate1	E	37	FFL1_D90	"Flask, FimA-"	FimA	90	0.007
Plate1	F	37	FFL1_D90	"Flask, FimA-"	FimA	90	0.008
Plate1	G	37	FFL1_D90	"Flask, FimA-"	FimA	90	0.006
Plate1	H	37	FFL1_D90	"Flask, FimA-"	FimA	90	0.004
