Time	Temp	Sample	FFL	FCT	WFL	WCT
1	37	1	1.137	0.672	1.115	0.66
1	37	1	1.15	0.678	1.191	0.651
1	37	2	1.074	0.661	1.118	0.667
1	37	2	1.091	0.681	1.013	0.679
1	37	3	1.064	0.662	1.069	0.657
1	37	3	1.087	0.676	1.065	0.663
1	37	4	1.096	0.656	1.11	0.679
1	37	4	1.115	0.691	1.143	0.685
1	37	5	1.152	0.669	1.136	0.669
1	37	5	1.19	0.698	1.136	0.665
1	37	6	1.029	0.689	1.071	0.696
1	37	6	1.071	0.711	1.09	0.685
2	25	1	1.171	0.734	1.186	0.785
2	25	1	1.182	0.689	1.201	0.787
2	25	2	1.239	0.748	1.2	0.742
2	25	2	1.215	0.738	1.208	0.715
2	25	3	1.226	0.749	1.242	0.755
2	25	3	1.217	0.716	1.236	0.767
2	25	4	1.242	0.743	1.223	0.762
2	25	4	1.247	0.776	1.201	0.73
2	25	5	1.172	0.769	1.15	0.748
2	25	5	1.188	0.78	1.149	0.759
2	25	6	1.22	0.757	1.193	0.733
2	25	6	1.244	0.764	1.193	0.753
4	37	1	1.046	0.668	1.097	0.718
4	37	1	1.085	0.687	1.104	0.741
4	37	2	1.178	0.714	1.113	0.769
4	37	2	1.173	0.729	1.132	0.744
4	37	3	1.127	0.688	1.128	0.739
4	37	3	1.138	0.696	1.148	0.722
4	37	4	1.12	0.674	1.087	0.707
4	37	4	1.141	0.732	1.107	0.725
4	37	5	1.102	0.687	1.122	0.731
4	37	5	1.126	0.702	1.119	0.729
4	37	6	1.143	0.678	1.085	0.698
4	37	6	1.14	0.694	1.096	0.714
5	25	1	1.259	0.797	1.241	0.778
5	25	1	1.273	0.788	1.251	0.788
5	25	2	1.235	0.765	1.24	0.864
5	25	2	1.23	0.765	1.25	0.877
5	25	3	1.23	0.782	1.259	0.817
5	25	3	1.254	0.771	1.267	0.828
5	25	4	1.259	0.744	1.235	0.767
5	25	4	1.26	0.756	1.25	0.781
5	25	5	1.284	0.82	1.263	0.795
5	25	5	1.279	0.826	1.283	0.798
5	25	6	1.186	0.824	1.275	0.848
5	25	6	1.222	0.765	1.284	0.867
9	37	1	1.103	0.663	1.104	0.701
9	37	1	1.115	0.692	1.09	0.713
9	37	2	1.082	0.701	1.095	0.709
9	37	2	1.113	0.697	1.114	0.715
9	37	3	1.105	0.723	1.101	0.697
9	37	3	1.125	0.716	1.105	0.713
9	37	4	1.191	0.672	1.124	0.674
9	37	4	1.198	0.713	0.992	0.697
9	37	5	1.106	0.67	1.088	0.691
9	37	5	1.123	0.673	1.116	0.674
9	37	6	1.125	0.661	1.114	0.677
9	37	6	1.146	0.684	1.129	0.688
10	25	1	1.204	0.818	1.21	0.864
10	25	1	1.186	0.775	1.218	0.909
10	25	2	1.179	0.784	1.234	0.889
10	25	2	1.196	0.778	1.189	0.963
10	25	3	1.222	0.79	1.204	0.849
10	25	3	1.24	0.759	1.182	0.852
10	25	4	1.113	0.762	1.189	0.852
10	25	4	1.138	0.787	1.19	0.833
10	25	5	1.202	0.849	1.198	0.846
10	25	5	1.233	0.845	1.205	0.878
10	25	6	1.155	0.797	1.197	0.86
10	25	6	1.164	0.821	1.232	0.882
14	37	1	1.317	0.663	1.385	0.725
14	37	1	1.38	0.668	1.366	0.726
14	37	2	1.157	0.685	1.321	0.728
14	37	2	1.23	0.653	1.327	0.713
14	37	3	1.216	0.678	1.338	0.717
14	37	3	1.25	0.676	1.335	0.71
14	37	4	1.302	0.664	1.093	0.708
14	37	4	1.325	0.683	1.102	0.688
14	37	5	1.163	0.689	1.067	0.718
14	37	5	1.182	0.7	1.11	0.706
14	37	6	1.112	0.649	1.329	0.688
14	37	6	1.149	0.667	1.355	0.688
15	25	1	1.334	0.792	1.338	0.906
15	25	1	1.33	0.767	1.357	0.908
15	25	2	1.401	0.835	1.432	0.907
15	25	2	1.404	0.833	1.445	0.923
15	25	3	1.316	0.786	1.502	0.938
15	25	3	1.312	0.804	1.493	0.94
15	25	4	1.48	0.782	1.341	0.915
15	25	4	1.481	0.785	1.347	0.929
15	25	5	1.299	0.752	1.269	0.892
15	25	5	1.299	0.749	1.269	0.899
15	25	6	1.449	0.778	1.414	0.873
15	25	6	1.457	0.791	1.397	0.877
19	37	1	1.136	0.596	1.121	0.6
19	37	1	1.163	0.599	1.133	0.594
19	37	2	1.139	0.602	1.127	0.636
19	37	2	1.143	0.611	1.143	0.646
19	37	3	1.147	0.608	1.145	0.62
19	37	3	1.131	0.632	1.131	0.628
19	37	4	1.127	0.603	1.136	0.637
19	37	4	1.128	0.624	1.159	0.635
19	37	5	1.123	0.609	2.199	0.629
19	37	5	1.133	0.639	1.142	0.624
19	37	6	1.139	0.612	1.124	0.647
19	37	6	1.151	0.613	1.123	0.617
20	25	1	1.249	0.78	1.282	0.817
20	25	1	1.274	0.786	1.297	0.812
20	25	2	1.252	0.73	1.274	0.811
20	25	2	1.281	0.729	1.288	0.818
20	25	3	1.266	0.772	1.26	0.81
20	25	3	1.278	0.775	1.285	0.825
20	25	4	1.238	0.771	1.263	0.824
20	25	4	1.279	0.76	1.273	0.822
20	25	5	1.245	0.79	1.244	0.811
20	25	5	1.263	0.778	1.271	0.825
20	25	6	1.265	0.741	1.251	0.829
20	25	6	1.258	0.759	1.272	0.797
24	37	1	1.16	0.624	1.165	0.586
24	37	1	1.194	0.629	1.157	0.566
24	37	2	1.198	0.614	1.183	0.641
24	37	2	1.163	0.605	1.196	0.626
24	37	3	1.192	0.622	1.172	0.661
24	37	3	1.157	0.606	1.195	0.641
24	37	4	1.2	0.617	1.174	0.656
24	37	4	1.193	0.624	1.194	0.63
24	37	5	1.187	0.611	1.172	0.657
24	37	5	1.182	0.624	1.191	0.635
24	37	6	1.205	0.612	1.145	0.656
24	37	6	1.164	0.622	1.169	0.63
25	25	1	1.251	0.73	1.253	0.759
25	25	1	1.24	0.7	1.236	0.774
25	25	2	1.198	0.778	1.242	0.812
25	25	2	1.242	0.784	1.238	0.793
25	25	3	1.248	0.746	1.234	0.818
25	25	3	1.232	0.746	1.209	0.764
25	25	4	1.185	0.758	1.246	0.767
25	25	4	1.259	0.76	1.237	0.741
25	25	5	1.19	0.733	1.271	0.789
25	25	5	1.239	0.746	1.273	0.754
25	25	6	1.232	0.702	1.222	0.769
25	25	6	1.262	0.728	1.248	0.764
29	37	1	1.159	0.566	1.162	0.616
29	37	1	1.167	0.577	1.152	0.582
29	37	2	1.145	0.583	1.198	0.619
29	37	2	1.143	0.576	1.136	0.605
29	37	3	1.064	0.609	1.192	0.613
29	37	3	1.146	0.579	1.165	0.585
29	37	4	1.14	0.553	1.178	0.629
29	37	4	1.17	0.551	1.15	0.619
29	37	5	1.149	0.565	1.179	0.597
29	37	5	1.184	0.584	1.166	0.599
29	37	6	1.157	0.579	1.105	0.581
29	37	6	1.178	0.599	1.139	0.582
30	25	1	1.24	0.755	1.246	0.804
30	25	1	1.255	0.756	1.238	0.827
30	25	2	1.216	0.727	1.247	0.835
30	25	2	1.236	0.738	1.236	0.841
30	25	3	1.233	0.771	1.239	0.809
30	25	3	1.26	0.746	1.239	0.771
30	25	4	1.226	0.769	1.21	0.776
30	25	4	1.232	0.785	1.226	0.794
30	25	5	1.217	0.768	1.254	0.832
30	25	5	1.234	0.767	1.256	0.82
30	25	6	1.226	0.759	1.237	0.805
30	25	6	1.233	0.757	1.224	0.788
34	37	1	1.148	0.607	1.192	0.571
34	37	1	1.158	0.601	1.209	0.573
34	37	2	1.189	0.597	1.2	0.598
34	37	2	1.166	0.594	1.197	0.607
34	37	3	1.155	0.601	1.212	0.592
34	37	3	1.196	0.591	1.222	0.592
34	37	4	1.162	0.6	1.199	0.623
34	37	4	1.198	0.618	1.209	0.609
34	37	5	1.15	0.588	1.183	0.608
34	37	5	1.188	0.618	1.199	0.61
34	37	6	1.144	0.597	1.211	0.603
34	37	6	1.132	0.63	1.23	0.598
35	25	1	1.246	0.769	1.227	0.829
35	25	1	1.235	0.774	1.224	0.823
35	25	2	1.228	0.729	1.238	0.795
35	25	2	1.236	0.723	1.211	0.81
35	25	3	1.26	0.812	1.238	0.822
35	25	3	1.254	0.809	1.181	0.816
35	25	4	1.274	0.783	1.284	0.778
35	25	4	1.273	0.778	1.285	0.759
35	25	5	1.248	0.797	1.277	0.859
35	25	5	1.252	0.779	1.26	0.818
35	25	6	1.223	0.788	1.248	0.775
35	25	6	1.219	0.804	1.241	0.762
39	37	1	1.161	0.576	1.207	0.668
39	37	1	1.181	0.577	1.191	0.643
39	37	2	1.162	0.615	1.212	0.565
39	37	2	1.203	0.614	1.199	0.559
39	37	3	1.173	0.587	1.169	0.551
39	37	3	1.148	0.596	1.165	0.528
39	37	4	1.267	0.583	1.199	0.583
39	37	4	1.228	0.59	1.192	0.568
39	37	5	1.15	0.567	1.179	0.583
39	37	5	1.234	0.565	1.171	0.565
39	37	6	1.246	0.552	1.17	0.568
39	37	6	1.227	0.575	1.179	0.571
40	25	1	1.237	0.799	1.297	0.818
40	25	1	1.239	0.79	1.281	0.813
40	25	2	1.262	0.692	1.275	0.833
40	25	2	1.269	0.668	1.259	0.82
40	25	3	1.259	0.759	1.283	0.836
40	25	3	1.232	0.766	1.277	0.807
40	25	4	1.257	0.732	1.303	0.785
40	25	4	1.261	0.697	1.295	0.795
40	25	5	1.253	0.741	1.243	0.776
40	25	5	1.272	0.785	1.26	0.77
40	25	6	1.224	0.774	1.281	0.75
40	25	6	1.247	0.784	1.304	0.762
44	37	1	1.193	0.619	1.265	0.646
44	37	1	1.194	0.589	1.254	0.611
44	37	2	1.207	0.626	1.229	0.629
44	37	2	1.2	0.627	1.223	0.631
44	37	3	1.171	0.572	1.212	0.652
44	37	3	1.213	0.581	1.202	0.635
44	37	4	1.19	0.6	1.229	0.651
44	37	4	1.152	0.62	1.222	0.629
44	37	5	1.206	0.594	1.213	0.641
44	37	5	1.224	0.622	1.231	0.637
44	37	6	1.222	0.58	1.207	0.619
44	37	6	1.227	0.604	1.222	0.608
50	25	1	1.195	0.722	1.196	0.715
50	25	1	1.204	0.683	1.194	0.695
50	25	2	1.182	0.789	1.188	0.685
50	25	2	1.166	0.785	1.19	0.713
50	25	3	1.18	0.704	1.207	0.714
50	25	3	1.188	0.71	1.212	0.714
50	25	4	1.144	0.709	1.211	0.701
50	25	4	1.011	0.718	1.211	0.677
50	25	5	1.2	0.716	1.2	0.712
50	25	5	1.225	0.745	1.201	0.71
