Environment	Ancestor	Replicate	WT_T0	FimA_T0	WT_T1	FimA_T1	W_fimA
Tube	FimAvFimA-{}	T1	9.70E+06	9.80E+06	5.10E+08	5.90E+08	1.03
Tube	FimAvFimA-{}	T2	8.00E+06	9.00E+06	3.89E+08	4.51E+08	1.01
Tube	FimAvFimA-{}	T3	1.30E+07	1.17E+07	7.30E+08	8.90E+08	1.08
Tube	FimAvFimA-{}	T4	1.58E+07	1.41E+07	6.50E+08	6.10E+08	1.01
Tube	FimAvFimA-{}	T5	1.16E+07	1.00E+07	3.20E+08	3.40E+08	1.06
Tube	FimAvFimA-{}	T6	8.20E+06	9.40E+06	5.70E+08	5.60E+08	0.96
Flask	FimAvFimA-{}	F1	1.17E+07	9.90E+06	1.17E+09	1.30E+09	1.06E+00
Flask	FimAvFimA-{}	F2	7.10E+06	7.00E+06	4.90E+08	4.90E+08	1.00E+00
Flask	FimAvFimA-{}	F3	8.20E+06	9.20E+06	2.31E+09	2.07E+09	9.60E-01
Flask	FimAvFimA-{}	F4	7.80E+06	7.10E+06	5.30E+08	4.80E+08	9.99E-01
Flask	FimAvFimA-{}	F5	1.37E+07	1.68E+07	2.37E+08	2.20E+08	9.02E-01
Flask	FimAvFimA-{}	F6	6.40E+06	7.20E+06	1.63E+09	1.78E+09	9.95E-01
Tube	WTvWT	T1	5.70E+06	4.10E+06	2.15E+09	1.43E+09	0.99
Tube	WTvWT	T2	4.80E+06	3.70E+06	1.10E+09	8.10E+08	0.99
Tube	WTvWT	T3	5.40E+06	4.00E+06	7.80E+08	7.00E+08	1.04
Tube	WTvWT	T4	5.60E+06	3.80E+06	7.40E+08	7.20E+08	1.07
Tube	WTvWT	T5	4.70E+06	3.00E+06	1.20E+09	9.60E+08	1.04
Tube	WTvWT	T6	2.70E+06	1.80E+06	1.01E+09	7.10E+08	1.01
Flask	WTvWT	F1	2.60E+06	2.40E+06	2.80E+08	3.40E+08	1.06E+00
Flask	WTvWT	F2	2.40E+06	1.90E+06	5.40E+08	5.60E+08	1.05E+00
Flask	WTvWT	F3	2.50E+06	2.60E+06	4.50E+08	6.70E+08	1.07E+00
Flask	WTvWT	F4	2.50E+06	2.80E+06	2.20E+08	2.40E+08	9.94E-01
Flask	WTvWT	F5	2.30E+06	4.00E+06	3.10E+08	3.20E+08	8.94E-01
Flask	WTvWT	F6	1.30E+06	1.60E+06	5.50E+08	6.20E+08	9.85E-01
