Day	Evolved	Ans	Treatment	Temp	EC_RC	Location	Evol_Count_Initial	Evol_Initial_Dilution	Ans_Count_Initial	Ans_Initial_Dilution	Evol_Count_Final	Evol_Final_Dilution	Ans_Count_Final	Ans_Final_Dilution	Evol_Total_Initial	Evol_Total_Final	Ans_Total_Initial	Ans_Total_Final	Fitness	Date
90	FCT1	FFL_Ans	FCT	37	EC	ASU	47	-4	57	-4	41	-6	40	-6	4700000	410000000	5700000	400000000	1.0511871	ASU
90	FCT2	FFL_Ans	FCT	37	EC	ASU	53	-4	48	-4	29	-6	27	-6	5300000	290000000	4800000	270000000	0.99314311	ASU
90	FCT3	FFL_Ans	FCT	37	EC	ASU	67	-4	60	-4	52	-6	36	-6	6700000	520000000	6000000	360000000	1.06286152	ASU
90	FCT4	FFL_Ans	FCT	37	EC	ASU	22	-4	21	-4	51	-6	37	-6	2200000	510000000	2100000	370000000	1.053056989	ASU
90	FCT5	FFL_Ans	FCT	37	EC	ASU	37	-4	42	-4	32	-6	35	-6	3700000	320000000	4200000	350000000	1.008397201	ASU
90	FCT6	FFL_Ans	FCT	37	EC	ASU	40	-4	36	-4	273	-5	196	-5	4000000	273000000	3600000	196000000	1.056539004	ASU
90	FFL1	FCT_Ans	FFL	37	EC	Vandy	125	-4	157	-4	353	-6	69	-6	12500000	3530000000	15700000	690000000	1.491746876	2/25/21
90	FFL2	FCT_Ans	FFL	37	EC	Vandy	111	-4	156	-4	221	-6	101	-6	11100000	2210000000	15600000	1010000000	1.269364724	2/25/21
90	FFL3	FCT_Ans	FFL	37	EC	Vandy	128	-4	182	-4	221	-6	192	-6	12800000	2210000000	18200000	1920000000	1.105747977	2/25/21
90	FFL4	FCT_Ans	FFL	37	EC	Vandy	12	-5	33	-5	237	-6	71	-6	12000000	2370000000	33000000	710000000	1.722436114	7/23/21
90	FFL5	FCT_Ans	FFL	37	EC	Vandy	40	-4	88	-4	208	-6	64	-6	4000000	2080000000	8800000	640000000	1.458885578	7/16/21
90	FFL6	FCT_Ans	FFL	37	EC	Vandy	41	-4	66	-4	174	-6	62	-6	4100000	1740000000	6600000	620000000	1.331965625	7/16/21
90	WCT1	WFL_Ans	WCT	37	EC	Vandy	110	-4	69	-4	137	-6	29	-6	11000000	1370000000	6900000	290000000	1.29058501	2/25/21
90	WCT2	WFL_Ans	WCT	37	EC	Vandy	91	-4	49	-4	104	-6	40	-6	9100000	1040000000	4900000	400000000	1.076432237	2/25/21
90	WCT3	WFL_Ans	WCT	37	EC	Vandy	97	-4	48	-4	139	-6	22	-6	9700000	1390000000	4800000	220000000	1.29801779	2/25/21
90	WCT4	WFL_Ans	WCT	37	EC	Vandy	71	-4	50	-4	66	-6	20	-6	7100000	660000000	5000000	200000000	1.22859668	3/4/21
90	WCT5	WFL_Ans	WCT	37	EC	Vandy	40	-4	46	-4	128	-6	23	-6	4000000	1280000000	4600000	230000000	1.474511011	3/24/21
90	WCT6	WFL_Ans	WCT	37	EC	Vandy	57	-4	55	-4	89	-6	24	-6	5700000	890000000	5500000	240000000	1.337632764	3/24/21
90	WFL1	WCT_Ans	WFL	37	EC	Vandy	73	-4	94	-4	219	-6	110	-6	7300000	2190000000	9400000	1100000000	1.197680885	7/23/21
90	WFL2	WCT_Ans	WFL	37	EC	Vandy	60	-4	68	-4	40	-7	17	-7	6000000	4000000000	6800000	1700000000	1.177639445	7/23/21
90	WFL3	WCT_Ans	WFL	37	EC	Vandy	36	-4	97	-4	234	-6	105	-6	3600000	2340000000	9700000	1050000000	1.382662736	7/23/21
