Day	Evolved	Ans	Treatment	Temp	EC_RC	Location	Evol_Total_Initial	Evol_Total_Final	Ans_Total_Initial	Ans_Total_Final	Fitness
90	FCT1	FFL_Ans	FCT	25	RC	Vandy	7400000	1980000000	15400000	4060000000	1.00E+00
90	FCT2	FFL_Ans	FCT	25	RC	Vandy	15800000	1620000000	21100000	4560000000	8.61E-01
90	FCT3	FFL_Ans	FCT	25	RC	Vandy	1900000	3900000000	2100000	6700000000	9.45E-01
90	FCT4	FFL_Ans	FCT	25	RC	Vandy	1400000	2200000000	2200000	4900000000	9.55E-01
90	FCT5	FFL_Ans	FCT	25	RC	Vandy	5400000	1800000000	14400000	4300000000	1.02E+00
90	FCT6	FFL_Ans	FCT	25	RC	Vandy	8900000	3400000000	14300000	5500000000	9.99E-01
90	FFL1	FCT_Ans	FFL	25	RC	Vandy	1800000	240000000	2300000	460000000	9.23E-01
90	FFL2	FCT_Ans	FFL	25	RC	Vandy	2000000	200000000	3800000	410000000	9.84E-01
90	FFL3	FCT_Ans	FFL	25	RC	Vandy	4000000	230000000	3400000	510000000	8.09E-01
90	FFL4	FCT_Ans	FFL	25	RC	Vandy	2400000	220000000	2600000	490000000	8.62E-01
90	FFL5	FCT_Ans	FFL	25	RC	Vandy	3900000	360000000	3400000	570000000	8.83E-01
90	FFL6	FCT_Ans	FFL	25	RC	Vandy	2100000	260000000	2100000	620000000	8.47E-01
90	WCT1	WFL_Ans	WCT	25	RC	Vandy	14000000	2330000000	16500000	5040000000	8.94E-01
90	WCT2	WFL_Ans	WCT	25	RC	Vandy	15500000	2710000000	17600000	2330000000	1.06E+00
90	WCT3	WFL_Ans	WCT	25	RC	Vandy	21000000	4200000000	9000000	8300000000	7.76E-01
90	WCT4	WFL_Ans	WCT	25	RC	Vandy	12700000	4300000000	14500000	5700000000	9.75E-01
90	WCT5	WFL_Ans	WCT	25	RC	Vandy	10900000	2800000000	13000000	3900000000	9.73E-01
90	WCT6	WFL_Ans	WCT	25	RC	Vandy	8000000	1100000000	12600000	3500000000	8.75E-01
90	WFL1	WCT_Ans	WFL	25	RC	Vandy	3400000	620000000	6800000	430000000	1.26E+00
90	WFL2	WCT_Ans	WFL	25	RC	Vandy	3000000	600000000	6400000	690000000	1.13E+00
90	WFL3	WCT_Ans	WFL	25	RC	Vandy	5400000	610000000	5900000	600000000	1.02E+00
90	WFL4	WCT_Ans	WFL	25	RC	Vandy	4200000	440000000	5900000	670000000	9.83E-01
90	WFL5	WCT_Ans	WFL	25	RC	Vandy	2600000	440000000	6300000	650000000	1.11E+00
90	WFL6	WCT_Ans	WFL	25	RC	Vandy	4000000	650000000	7600000	780000000	1.10E+00
90	FCT1	FFL_Ans	FCT	37	RC	ASU	3.10E+06	7.50E+08	4.90E+06	1.50E+08	1.60E+00
90	FCT2	FFL_Ans	FCT	37	RC	ASU	2.00E+06	4.90E+08	4.70E+06	1.60E+08	1.56E+00
90	FCT3	FFL_Ans	FCT	37	RC	ASU	1.20E+06	5.40E+08	3.20E+06	2.50E+08	1.40E+00
90	FCT4	FFL_Ans	FCT	37	RC	ASU	1.90E+06	5.30E+08	3.40E+06	3.30E+08	1.23E+00
90	FCT5	FFL_Ans	FCT	37	RC	ASU	2.30E+06	5.20E+08	2.40E+06	1.50E+08	1.31E+00
90	FCT6	FFL_Ans	FCT	37	RC	ASU	3.00E+06	9.30E+08	5.60E+06	1.40E+08	1.78E+00
