Sample	Population	Condition	Fitness
Rep1	Ancestor	Tube	0.754103371
Rep2	Ancestor	Tube	0.819315071
Rep3	Ancestor	Tube	0.852891989
Rep4	Ancestor	Tube	0.829347866
Rep5	Ancestor	Tube	0.844235568
Rep6	Ancestor	Tube	0.849820188
Rep1	Ancestor	Flask	0.302919373
Rep2	Ancestor	Flask	0.196997686
Rep3	Ancestor	Flask	0.215594413
Rep4	Ancestor	Flask	0.241442743
Rep5	Ancestor	Flask	0.19689353
Rep6	Ancestor	Flask	0.191465847
WCT1	Evolved	Tube	1.047199401
WCT2	Evolved	Tube	1.329084398
WCT3	Evolved	Tube	1.217045622
WCT4	Evolved	Tube	0.942078851
WCT5	Evolved	Tube	1.189527377
WCT6	Evolved	Tube	1.14693615
WFL1	Evolved	Flask	1.273613794
WFL2	Evolved	Flask	1.654168031
WFL3	Evolved	Flask	1.360609486
WFL4	Evolved	Flask	1.377430206
WFL5	Evolved	Flask	1.668988738
WFL6	Evolved	Flask	2.189158782
