Samples	Background	Genotype	Treatment	PlannedContrast	PlannedContrast2	PlannedContrast3
FFL_1	FFL	FimA	Flask	Flask	FimA	Fim_Flask
FFL_2	FFL	FimA	Flask	Flask	FimA	Fim_Flask
FFL_3	FFL	FimA	Flask	Flask	FimA	Fim_Flask
FFL_4	FFL	FimA	Flask	Flask	FimA	Fim_Flask
FFL_5	FFL	FimA	Flask	Flask	FimA	Fim_Flask
FFL_6	FFL	FimA	Flask	Flask	FimA	Fim_Flask
FCT_1	FCT	FimA	Tube	Fim_Tube	FimA	Fim_Tube
FCT_2	FCT	FimA	Tube	Fim_Tube	FimA	Fim_Tube
FCT_3	FCT	FimA	Tube	Fim_Tube	FimA	Fim_Tube
FCT_4	FCT	FimA	Tube	Fim_Tube	FimA	Fim_Tube
FCT_5	FCT	FimA	Tube	Fim_Tube	FimA	Fim_Tube
FCT_6	FCT	FimA	Tube	Fim_Tube	FimA	Fim_Tube
WFL_1	WFL	WT	Flask	Flask	WT_Flask	WT
WFL_2	WFL	WT	Flask	Flask	WT_Flask	WT
WFL_3	WFL	WT	Flask	Flask	WT_Flask	WT
WFL_4	WFL	WT	Flask	Flask	WT_Flask	WT
WFL_5	WFL	WT	Flask	Flask	WT_Flask	WT
WFL_6	WFL	WT	Flask	Flask	WT_Flask	WT
WCT_1	WCT	WT	Tube	WT_tube	WT_tube	WT
WCT_2	WCT	WT	Tube	WT_tube	WT_tube	WT
WCT_3	WCT	WT	Tube	WT_tube	WT_tube	WT
WCT_4	WCT	WT	Tube	WT_tube	WT_tube	WT
WCT_5	WCT	WT	Tube	WT_tube	WT_tube	WT
WCT_6	WCT	WT	Tube	WT_tube	WT_tube	WT
