Strain	OD550
WT	0.202
WT	0.208
WT	0.215
WT	0.169
WT	0.196
WT	0.154
WT	0.168
WT	0.162
WT	0.181
WT	0.16
WT	0.172
WT	0.274
WT	0.171
WT	0.153
FimA	0.234
FimA	0.186
FimA	0.191
FimA	0.199
FimA	0.158
FimA	0.168
FimA	0.14
FimA	0.208
FimA	0.207
FimA	0.182
FimA	0.167
FimA	0.253
FimA	0.184
FimA	0.145
FimA/NlpD	0.147
FimA/NlpD	0.221
FimA/NlpD	0.157
FimA/NlpD	0.149
FimA/NlpD	0.141
FimA/NlpD	0.135
FimA/NlpD	0.117
FimA/NlpD	0.265
FimA/NlpD	0.13
FimA/NlpD	0.259
FimA/NlpD	0.159
FimA/NlpD	0.152
FimA/NlpD	0.175
FimA/NlpD	0.136
NlpD	0.283
NlpD	0.242
NlpD	0.225
NlpD	0.237
NlpD	0.214
NlpD	0.202
NlpD	0.211
NlpD	0.279
NlpD	0.258
NlpD	0.241
NlpD	0.31
NlpD	0.265
NlpD	0.224
NlpD	0.251
FimE	0.243
FimE	0.196
FimE	0.207
FimE	0.205
FimE	0.234
FimE	0.206
FimE	0.214
FimE	0.215
FimE	0.215
FimE	0.218
FimE	0.215
FimE	0.215
FimE	0.223
FimE	0.224
FimE/NlpD	0.346
FimE/NlpD	0.354
FimE/NlpD	0.349
FimE/NlpD	0.334
FimE/NlpD	0.36
FimE/NlpD	0.337
FimE/NlpD	0.426
FimE/NlpD	0.32
FimE/NlpD	0.328
FimE/NlpD	0.339
FimE/NlpD	0.35
FimE/NlpD	0.311
FimE/NlpD	0.369
FimE/NlpD	0.421
