Competition	Growth Vessel	Replicate	Comp1	Comp2	Day	DayPair	Dilution	Strain_1_colonies_D0	Strain_1_CFU_D0	Strain_2_CFU_D0	Strain_2_colonies_D0	P_Strain1_I	P_Strain2_I	Day_F	DayPair_F	Dilution_F	Strain_1_colonies_D1	Strain_1_CFU_D1	Strain_2_colonies_D1	Strain_2_CFU_D1	P_Strain1_F	P_Strain2_F	W_Strain2
WT_nlpD	Tube	1	WT	nlpD	0	1	-4	116	1160000	119	1190000	0.493617021	0.506382979	1	1	-6	52	52000000	129	129000000	0.287292818	0.712707182	1.232205185
WT_nlpD	Tube	2	WT	nlpD	0	1	-4	148	1480000	140	1400000	0.513888889	0.486111111	1	1	-6	76	76000000	142	142000000	0.348623853	0.651376147	1.172814655
WT_nlpD	Tube	3	WT	nlpD	0	1	-4	146	1460000	122	1220000	0.544776119	0.455223881	1	1	-6	42	42000000	117	117000000	0.264150943	0.735849057	1.358441891
fimA_fimAnlpD	Tube	1	fimA	fimAnlpD	0	1	-4	58	580000	57	570000	0.504347826	0.495652174	1	1	-6	62	62000000	36	36000000	0.632653061	0.367346939	0.887363164
fimA_fimAnlpD	Tube	2	fimA	fimAnlpD	0	1	-4	42	420000	46	460000	0.477272727	0.522727273	1	1	-6	47	47000000	47	47000000	0.5	0.5	0.98071671
fimA_fimAnlpD	Tube	3	fimA	fimAnlpD	0	1	-4	32	320000	39	390000	0.450704225	0.549295775	1	1	-6	46	46000000	36	36000000	0.56097561	0.43902439	0.910841092
WT_nlpD	Flask	1	WT	nlpD	0	1	-4	99	990000	89	890000	0.526595745	0.473404255	1	1	-6	148	148000000	28	28000000	0.840909091	0.159090909	0.688747245
WT_nlpD	Flask	2	WT	nlpD	0	1	-4	82	820000	91	910000	0.473988439	0.526011561	1	1	-6	193	193000000	35	35000000	0.846491228	0.153508772	0.668295994
WT_nlpD	Flask	3	WT	nlpD	0	1	-4	112	1120000	100	1000000	0.528301887	0.471698113	1	1	-6	118	118000000	14	14000000	0.893939394	0.106060606	0.566642826
fimA_fimAnlpD	Flask	1	fimA	fimAnlpD	0	1	-4	36	360000	24	240000	0.6	0.4	1	1	-6	126	126000000	13	13000000	0.90647482	0.09352518	0.681480244
fimA_fimAnlpD	Flask	2	fimA	fimAnlpD	0	1	-4	50	500000	45	450000	0.526315789	0.473684211	1	1	-6	134	134000000	14	14000000	0.905405405	0.094594595	0.614840463
fimA_fimAnlpD	Flask	3	fimA	fimAnlpD	0	1	-4	59	590000	41	410000	0.59	0.41	1	1	-6	99	99000000	19	19000000	0.838983051	0.161016949	0.748823417
WT_fimE	Tube	4	WT	fimE	0	1	-4	83	830000	76	760000	0.522012579	0.477987421	1	1	-6	81	81000000	161	161000000	0.334710744	0.665289256	1.169198847
WT_fimE	Tube	5	WT	fimE	0	1	-4	76	760000	89	890000	0.460606061	0.539393939	1	1	-6	82	82000000	171	171000000	0.324110672	0.675889328	1.123268968
WT_fimE	Tube	6	WT	fimE	0	1	-4	68	680000	161	1610000	0.296943231	0.703056769	1	1	-6	51	51000000	150	150000000	0.253731343	0.746268657	1.050240556
WT_fimEnlpD	Tube	4	WT	fimEnlpD	0	1	-4	43	430000	33	330000	0.565789474	0.434210526	1	1	-6	65	65000000	65	65000000	0.5	0.5	1.05274486
WT_fimEnlpD	Tube	5	WT	fimEnlpD	0	1	-4	70	700000	30	300000	0.7	0.3	1	1	-6	68	68000000	53	53000000	0.561983471	0.438016529	1.130694536
WT_fimEnlpD	Tube	6	WT	fimEnlpD	0	1	-4	46	460000	30	300000	0.605263158	0.394736842	1	1	-6	70	70000000	73	73000000	0.48951049	0.51048951	1.093414123
WT_fimE	Flask	1	WT	fimE	0	1	-4	84	840000	86	860000	0.494117647	0.505882353	1	1	-6	146	146000000	52	52000000	0.737373737	0.262626263	0.795288564
WT_fimE	Flask	2	WT	fimE	0	1	-4	217	2170000	61	610000	0.78057554	0.21942446	1	1	-6	142	142000000	46	46000000	0.755319149	0.244680851	1.033923568
WT_fimE	Flask	3	WT	fimE	0	1	-4	141	1410000	86	860000	0.621145374	0.378854626	1	1	-6	162	162000000	53	53000000	0.753488372	0.246511628	0.868699208
WT_fimEnlpD	Flask	1	WT	fimEnlpD	0	1	-4	67	670000	99	990000	0.403614458	0.596385542	1	1	-6	168	168000000	11	11000000	0.938547486	0.061452514	0.435871316
WT_fimEnlpD	Flask	2	WT	fimEnlpD	0	1	-4	259	2590000	78	780000	0.768545994	0.231454006	1	1	-6	146	146000000	1	1000000	0.993197279	0.006802721	0.061623144
WT_fimEnlpD	Flask	3	WT	fimEnlpD	0	1	-4	78	780000	15	150000	0.838709677	0.161290323	1	1	-6	122	122000000	10	10000000	0.924242424	0.075757576	0.831216171
