Geneid	FimA_del	WT	FimA_over
thrL	138	59	50
thrA	51147	50519	112826
thrB	9033	10154	18481
thrC	12119	13086	16437
yaaX	174	153	146
yaaA	347	241	61
yaaJ	1035	672	171
talB	3690	1870	2390
mog	343	246	232
satP	326	328	416
yaaW	129	53	36
mbiA	0	0	0
yaaI	116	62	23
dnaK	37388	79266	27416
dnaJ	3847	9982	1172
insL1	1610	1653	616
mokC	11	14	5
hokC	0	0	0
sokC	26	21	10
nhaA	5039	7128	1541
nhaR	951	931	693
insB1	317	166	156
insA1	166	85	78
rpsT	470	493	791
yaaY	150	94	123
ribF	802	674	1153
ileS	2434	3169	4109
lspA	365	370	754
fkpB	400	342	537
ispH	949	612	842
rihC	437	237	86
dapB	643	3312	5704
carA	592	330	1582
carB	1625	809	5305
caiF	477	600	88
caiE	251	173	43
caiD	351	220	48
caiC	877	420	133
caiB	655	310	125
caiA	547	310	216
caiT	591	348	56
fixA	412	204	23
fixB	282	175	49
fixC	526	222	41
fixX	120	43	11
yaaU	658	297	30
kefF	311	258	43
kefC	1371	873	224
folA	479	498	175
apaH	971	894	701
apaG	644	662	468
rsmA	1095	1297	731
pdxA	944	1089	410
surA	6192	11147	2559
lptD	10985	16085	3821
djlA	611	393	218
yabP	806	675	130
yabQ	150	209	13
rluA	650	646	1003
rapA	2089	2319	2451
polB	1390	1146	1012
araD	457	462	32
araA	964	1491	90
araB	999	968	99
araC	1304	1129	120
yabI	1000	1387	499
thiQ	406	253	180
thiP	737	385	115
thiB	589	248	120
sroA	37	16	16
sgrR	863	419	329
sgrS	18	19	3
sgrT	0	0	0
setA	676	488	171
leuD	629	1598	179
leuC	1594	4123	414
leuB	1693	3320	384
leuA	1765	3242	398
leuL	65	21	4
leuO	230	191	90
yabR	7	1	3
ilvI	1613	1300	521
ilvH	553	355	167
cra	1041	1039	458
mraZ	2023	2233	745
rsmH	3389	3507	1125
ftsL	977	1013	369
ftsI	1838	2313	857
ftsO	0	0	0
murE	1314	1707	787
murF	920	1194	647
mraY	749	906	465
murD	780	886	553
ftsW	677	705	449
murG	824	756	639
murC	907	936	832
ddlB	953	940	694
ftsQ	1063	924	600
ftsA	1423	1657	1067
ftsZ	3363	4682	2472
lpxC	13433	16582	55236
secM	799	965	847
secA	4957	6501	4139
mutT	402	295	85
yacG	360	254	163
zapD	853	674	227
coaE	729	603	215
yacM	14	9	3
guaC	508	254	263
hofC	465	223	132
hofB	391	189	341
ppdD	268	106	18
nadC	606	342	194
ampD	416	426	143
ampE	681	742	207
aroP	831	675	626
pdhR	392	260	394
aceE	5246	5426	5396
aceF	3036	3698	3721
lpd	2378	2277	6228
yacH	930	455	195
acnB	6224	6719	11482
yacL	980	1133	199
speD	459	308	360
speE	389	296	468
yacC	230	167	219
cueO	1175	1121	404
gcd	2251	3187	1939
hpt	368	321	411
can	685	528	2457
yadG	1126	900	311
yadH	799	783	359
yadI	336	291	116
yadE	556	321	222
panD	2703	1278	298
rpnC	508	221	124
panC	1034	702	875
panB	551	415	504
yadC	260	161	38
yadK	78	55	10
yadL	155	110	16
yadM	73	44	15
htrE	446	268	80
yadV	137	77	15
yadN	76	44	8
folK	112	62	49
pcnB	872	916	732
gluQ	529	798	250
dksA	22209	28543	776
sfsA	11193	16652	221
thpR	418	161	94
hrpB	1231	697	651
mrcB	1257	904	1064
fhuA	841	597	3204
fhuC	356	199	452
fhuD	281	154	212
fhuB	1041	541	396
hemL	1388	1417	1025
yadX	130	124	59
clcA	1133	1032	605
yadW	15	25	15
erpA	1752	1271	1179
