"FimA_del" "WT" "FimA_over"
"thrA" 2534.44244271806 2257.21167375405 6889.04917344161
"thrB" 1465.86710097058 1487.67541831549 3669.53483867315
"thrC" 1288.46990487845 1255.30180856711 2145.71379637442
"yaaX" 519.549606335284 426.057832818952 453.515107214313
"yaaA" 73.3168658693475 45.9981760686158 15.7217708064276
"yaaJ" 96.5023931262877 56.5244799183859 19.5925662941634
"talB" 580.678562580266 265.665614834061 460.323802872241
"mog" 114.288451527445 74.1467064078823 93.586437425831
"satP" 116.06517591471 105.662046425876 179.053540468166
"yaaW" 31.0420999483598 11.524726218922 10.5479753265174
"mbiA" 0 0 0
"yaaI" 87.5835283986407 42.548566395481 20.4901819769056
"dnaK" 2463.29032635857 4709.83493480576 2223.46291878712
"dnaJ" 482.298508497781 1129.37597120764 180.196115017879
"insL1" 206.10733559216 190.97682278242 96.6942149946433
"nhaA" 606.65263367035 774.401579708273 227.592350835951
"nhaR" 160.782117222718 142.117865475778 143.294517698042
"insB1" 142.054849639283 67.3781630722019 84.0365727973736
"insA1" 1164.96107673074 583.80713471303 469.129265119153
"rpsT" 14441.700813583 20898.4837948905 10230.9442579767
"ribF" 128.429214864803 97.4422433523915 225.943466976105
"ileS" 103.909290613967 121.976922931136 216.244476434447
"lspA" 169.840879303951 155.973234577258 421.318169479493
"fkpB" 230.313897025216 178.61991409318 368.80472682592
"ispH" 149.988610043843 87.3235053074624 162.870240198393
"rihC" 72.8661359409574 35.6798485411237 17.5406154196821
"dapB" 124.971060716096 581.372903984195 1353.73224326966
"carA" 72.7155524078473 36.5792099290274 238.344498042965
"carB" 59.8856045976583 26.8788445861939 241.095400006987
"caiF" 384.061709218968 439.349928786675 83.3510490002041
"caiE" 82.8747852155332 51.6688087710581 17.1915456463182
"caiD" 72.8920034264628 41.2692738229788 12.1621108590593
"caiC" 73.9953016665589 31.9653830655985 13.7973276744844
"caiB" 74.6564578585058 31.8829953209829 17.4851595689124
"caiA" 67.6449644315828 34.5962254733663 32.7621405661458
"caiT" 51.4146942684298 27.3097647968991 5.98901205533113
"fixA" 88.0735899341354 39.3948999135142 5.99661912472629
"fixB" 45.1584022342572 25.3002857368969 9.60210744304347
"fixC" 55.9233575349506 21.2958124332797 5.35220938439809
"fixX" 475.354043239399 160.686495689261 43.1006645026113
"yaaU" 67.0194853819111 27.2925101368834 3.75283612203094
"kefF" 125.457935270788 94.2218185599485 20.9095722801455
"kefC" 93.3713773143562 53.6212359142952 18.7761373637441
"folA" 238.114929839226 224.355185480033 104.263941772604
"apaH" 181.916877329729 151.259563814821 160.441248578371
"apaG" 597.921852492026 559.762072585693 507.400103747613
"rsmA" 212.820080068624 227.66928033439 173.488476477932
"pdxA" 141.222597777833 147.063964609407 75.107388212317
"surA" 658.322109993183 1069.29919456653 334.056190601821
"lptD" 572.397005013977 755.763931774578 245.297119288327
"djlA" 120.034187358788 69.7320741174612 52.2899541741291
"yabP" 225.239549976496 170.528730701067 44.1278632364624
"rluA" 177.55320740359 159.51477371399 332.924206020185
"rapA" 86.1482470659164 86.2230264986078 124.613766096648
"polB" 72.532821558289 53.9228156008015 65.060345346197
"araD" 114.515601439911 104.624326663959 9.75743398797001
"araA" 84.6741616075869 118.139349663986 9.71764198870493
"araB" 75.6876446615002 66.1483009814102 9.2271577988235
"araC" 230.085809482232 179.880544968982 25.8840836755481
"yabI" 216.31295641275 271.039654553499 131.626877447855
"thiQ" 101.040016381605 56.9012376120836 54.515908462997
"thiP" 59.5586191730179 28.0637991631308 11.4290653745656
"thiB" 88.8452064352914 33.7693472217046 22.1632231198325
"sgrR" 67.4921424869434 29.5564493385168 31.6479093482559
"setA" 80.3214237319274 52.3238407355633 24.927735708556
"leuD" 198.666991786957 456.472891970264 68.5188919436444
"leuC" 152.532248387226 355.93302959828 48.6748308185037
"leuB" 222.206110122727 393.272182463362 61.7866575637669
"leuA" 146.874918617092 243.352790233999 40.7245518307101
"leuO" 36.6699103412851 27.4922225944268 17.5600019435092
"ilvI" 120.2037490164 87.3785315352339 47.7670521743036
"ilvH" 260.654424569431 151.599237775095 94.489955788388
"cra" 152.596351005847 137.480264239531 82.2256330104995
"mraZ" 1112.01369575164 1113.05815808973 489.240534565553
"rsmH" 542.701507701765 507.017726167415 220.456548437222
"ftsL" 1010.22170530332 955.084147956824 442.765622906389
"ftsI" 133.152652474841 151.128892860723 76.3921632591154
"murE" 116.827184707777 136.908494240169 86.007946574785
"murF" 91.4019906107362 107.021665688434 78.9593094980258
"mraY" 99.3818109798409 108.496678100493 75.6316368492692
"murD" 80.5734895370207 82.5753120216343 70.1530453617535
"ftsW" 75.0478850497581 70.51717531754 61.0962542750711
"murG" 111.364088405451 92.2178522109864 105.846714031887
"murC" 81.4370792396768 75.8129479013131 91.8183830969631
"ddlB" 157.461485928502 140.227184607317 140.276206342571
"ftsQ" 203.341720272295 159.630589162011 140.178741148928
"ftsA" 154.912491849449 162.760974975157 142.599667639204
"ftsZ" 411.688407778595 517.232650369428 371.188501171771
"lpxC" 2229.62265468364 2484.97419035128 11215.1026412097
"secM" 345.290370945777 377.659676374505 440.446651163929
"secA" 221.223090014635 261.591019949467 227.682236812103
"mutT" 338.665142206644 226.11408800604 84.0502281534776
"zapD" 192.52818373053 137.44380783945 62.4423236007807
"coaE" 220.672440701212 165.057932216683 78.9394371395516
"guaC" 70.7594325150408 31.9337498779414 44.8872103184669
"hofC" 53.8438470855034 23.3006606708925 18.7560455136399
"hofB" 37.9140028957274 16.5337948392371 40.6231243477814
"ppdD" 162.002239727878 58.1403072991328 12.9557748491762
"nadC" 104.394787775522 53.1973246512037 40.8658299268839
"ampD" 155.72767384731 144.322171247214 64.6433257843885
"ampE" 125.0102797966 123.002945272657 46.4317991113828
"aroP" 81.4477267113111 59.6863061337759 75.3737135869777
"pdhR" 84.7946789137979 50.8077218341093 103.929839107124
"aceE" 238.21176172493 222.151708792255 302.00056794863
"aceF" 202.965949384738 222.960767832947 306.19431335918
"lpd" 222.864763929516 192.514974208066 717.236814840931
"yacH" 63.6949718067367 28.1048809678794 16.4372157413019
"acnB" 290.600756522392 282.860978108302 660.70959560116
"yacL" 1042.96694514468 1099.85255769995 245.327593354378
"speD" 93.7154488943644 56.8019728215939 89.6995832957757
"speE" 69.9954840653434 48.0958145726529 102.92268269177
"yacC" 286.714988987065 190.285020363855 312.869870947092
"cueO" 99.3689731404945 85.5156460998403 42.0075880738495
"gcd" 115.311280439403 147.211538089363 122.381633937781
"hpt" 145.231060673013 114.674713036193 195.625797758397
"can" 185.719307980979 129.402786495832 809.572399129334
"yadG" 184.371084836076 133.049284383583 62.3014559425102
"yadH" 170.802908634403 151.206895256283 93.5994028598582
"yadI" 203.107285628982 159.611598340072 83.4927712502469
"yadE" 62.5881526467165 32.6051942434414 30.6720045076849
"panD" 2447.14781738727 1053.45867709818 315.481861111783
"rpnC" 86.2867059827743 33.893630949941 25.7584425784809
"panC" 190.772632022083 116.963460066984 197.253604974174
"panB" 112.499373291492 76.5351257174075 125.579416614086
"yadC" 28.9986571248947 16.2027880927001 5.20221284237667
"yadK" 25.2947801780007 16.1325749047313 3.92818501769398
"yadL" 48.9560949554502 31.4217885586539 6.12459369328666
"yadM" 25.7381740291453 14.0362601919938 6.39504720944834
"htrE" 20.8238973986161 11.2824441335057 4.60344605888285
"yadV" 31.1149168582902 15.8003143043187 4.1515400291753
"yadN" 25.5574657293942 13.3850671120929 3.25632937827345
"folK" 55.6761422588586 27.9317700798435 29.1939036963292
"pcnB" 83.6630459338845 79.2858160254864 86.2883485295357
"gluQ" 86.6183871032719 117.970365486776 50.0815562238828
"dksA" 12395.2492107186 14447.1555375046 517.150401796251
"sfsA" 2747.97264444876 3694.44845466789 66.0438026670335
"thpR" 168.621919431477 58.7973363881851 45.7092975426437
"hrpB" 61.9264846108858 31.6162329965541 40.3521448977992
"mrcB" 60.3153490218091 39.1118700184115 62.9165384892896
"fhuA" 46.2744051035108 29.6211070009636 217.158050887343
"fhuC" 72.2799725222243 36.4946882850043 112.002219192201
"fhuD" 48.6377941490985 24.0685424146583 44.8676808567197
"fhuB" 65.957901289441 30.9126586872328 30.8903286273547
"hemL" 148.437207370259 136.728790329244 134.586632154807
"clcA" 106.458341965439 87.4787559951616 69.8526660968361
"erpA" 2261.51179540756 1500.36114061665 1739.62114745518
"yadS" 93.6648268357208 47.5057547560531 47.3442652014614
"btuF" 84.800863489899 28.0850221546347 25.6291963086445
"mtn" 194.365154665106 125.272685177591 170.51364702593
"dgt" 80.9737281629257 51.8272782312775 18.3511789959184
"degP" 249.574796612406 288.138354018923 90.2879998129878
"cdaR" 66.6360720421467 32.2615252563284 10.2921101285361
"yaeH" 2090.50963184447 2579.75970677186 257.819957664514
"yaeI" 79.6013352724341 38.3561750907268 47.5062466054745
"dapD" 304.097768730809 288.439979763144 334.295448636162
"glnD" 88.9396196209155 56.533921018963 173.913243990786
"map" 323.001830394084 229.052111183181 295.51029385775
"rpsB" 752.532574323421 1159.33407820583 2399.24959642949
"tsf" 424.533681124577 538.83166646243 791.494179502084
"pyrH" 144.176801622712 107.184915690143 165.908595039935
"frr" 1789.23511040983 1466.44292251571 576.084304281913
"dxr" 171.53958817044 129.554094874226 123.547612398528
"ispU" 193.452461300336 168.86741708912 100.82835003523
"cdsA" 161.460026790707 170.051271731796 83.9212777182341
"rseP" 152.640466226399 170.337537052935 129.699323645752
"bamA" 229.831396663844 303.178020753807 210.95362899113
"skp" 1726.01647028606 1831.89570229914 1714.54297222968
"lpxD" 582.664280812263 569.556507602807 631.887420634653
"fabZ" 708.252116187219 791.624960959157 700.418907587449
"lpxA" 273.393841894054 302.536081740081 389.274559509442
"lpxB" 83.2789603589871 65.0666552373911 187.873317989619
"rnhB" 121.285228032978 63.6503409877582 122.952191053822
"dnaE" 72.0709297793534 49.7074252731314 81.9185145236928
"accA" 219.670180765672 152.255094541286 144.944891348153
"ldcC" 107.368931855745 85.0529711635878 34.7903184891859
"yaeR" 383.31502413936 272.869882475084 145.357453394838
"tilS" 65.1556212291383 37.9269490770494 55.8757340733869
"yaeQ" 151.737803305732 99.2829993458592 129.171361049374
"arfB" 142.341678539897 87.7959336712253 166.412493110399
"nlpE" 225.766478917708 202.04424655622 248.323410373708
"yaeF" 66.8899097144691 34.396292986283 42.2590997922834
"proS" 146.43920094719 121.213810710977 108.813485551502
"trmO" 100.227474931286 46.7186245398786 38.2959573972117
"rcsF" 115.519653836138 64.5091167931484 177.284617974097
"metQ" 121.409374448004 102.380169887468 601.334473002485
"metI" 100.11370939552 50.3913637984469 633.375757056126
"metN" 59.2703203264648 27.5792982361456 588.369964343043
"gmhB" 212.712330009043 125.166587805712 118.826429606974
"rrsH" 106.709548380991 70.9829638661789 53.1903931910186
"rrlH" 118.985641200109 83.8641808549959 61.384866323453
"dkgB" 58.8321858906858 30.8314448407934 16.1760351563933
"yafC" 89.707050655 50.2829933026806 58.3327443026637
"yafD" 365.249433460066 333.737600928452 682.130917137771
"yafE" 104.472306855227 95.5544324236039 353.261055733981
"mltD" 69.8430428253779 49.746251639096 46.1307866928187
"gloB" 77.0845385161661 73.8186818021853 36.5168725378245
"yafS" 96.0334020495627 57.5654659014615 44.5441912104294
"rnhA" 120.419570863052 86.7621534522161 64.8010016722486
"dnaQ" 158.080965580374 118.36506242106 83.746809028569
"yafT" 42.5722527134612 27.5753784180813 5.32092350083844
"ykfM" 17.8959028689188 9.91127325413801 5.9579395298631
"yafU" 72.2494845429253 34.3456183599198 11.0539417598951
"yafV" 122.704467529597 115.867352686807 102.985415402908
"ivy" 264.225916551412 193.172556585435 148.106703043352
"fadE" 607.019061462794 1050.22291966814 18.8990995393016
"gmhA" 330.282211142169 206.432096941739 189.447451391134
"yafJ" 137.837044013067 75.3715082800177 155.510113970581
"dpaA" 234.838131616585 224.282383566498 366.719369243818
"yafQ" 1794.31419636686 1743.35262085792 2408.44683534655
"yafL" 86.2781058325971 50.152823830572 20.1096230403164
"rayT" 157.12884549597 84.4881669844672 43.0497045930145
"lfhA" 64.0171518158374 30.9708922460424 12.7563415928657
"lafU" 87.2156492925767 41.7841595106709 10.7402566287719
"dinB" 116.885186728193 95.3445482444396 59.3468717573896
"yafN" 1649.21967265677 1472.89420567662 340.349440419278
"yafO" 247.346293655452 157.575573385904 57.5132047163455
"yafP" 179.680004788202 109.501345476601 32.4698859460154
"ykfJ" 2215.48543675455 1164.68932364967 150.674692972735
"prfH" 72.5937972777911 33.700410560385 22.3543262974228
"pepD" 181.18007881718 144.863583018135 203.070366531538
"gpt" 136.321995326943 87.2302631731762 45.3122105839238
"frsA" 81.809954456014 50.7123516113372 89.8074116292804
"crl" 182.942284642299 135.567891073182 50.2012702982343
"insB9" 0 0 0
