# Program:featureCounts v2.0.6; Command:"featureCounts" "-p" "--countReadPairs" "-T" "4" "-t" "gene" "-g" "gene" "-a" "/data/behringer_lab/Ref_Genome/E_coli/E_coli.gtf" "-o" "SRA_FimA_Counts.txt" "Sample_SRR8335000.sorted.bam" "Sample_SRR8335002.sorted.bam" "Sample_SRR8335003.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	Sample_SRR8335000.sorted.bam	Sample_SRR8335002.sorted.bam	Sample_SRR8335003.sorted.bam
thrL	NC_000913.3	190	255	+	66	138	59	50
thrA	NC_000913.3	337	2799	+	2463	51147	50519	112826
thrB	NC_000913.3	2801	3733	+	933	9033	10154	18481
thrC	NC_000913.3	3734	5020	+	1287	12119	13086	16437
yaaX	NC_000913.3	5234	5530	+	297	174	153	146
yaaA	NC_000913.3	5683	6459	-	777	347	241	61
yaaJ	NC_000913.3	6529	7959	-	1431	1035	672	171
talB	NC_000913.3	8238	9191	+	954	3690	1870	2390
mog	NC_000913.3	9306	9893	+	588	343	246	232
satP	NC_000913.3	9928	10494	-	567	326	328	416
yaaW	NC_000913.3	10643	11356	-	714	129	53	36
mbiA	NC_000913.3	10830	11315	+	486	0	0	0
yaaI	NC_000913.3	11382	11786	-	405	116	62	23
dnaK	NC_000913.3	12163	14079	+	1917	37388	79266	27416
dnaJ	NC_000913.3	14168	15298	+	1131	3847	9982	1172
insL1	NC_000913.3	15445	16557	+	1113	1610	1653	616
mokC	NC_000913.3	16751	16960	-	210	11	14	5
hokC	NC_000913.3	16751	16903	-	153	0	0	0
sokC	NC_000913.3	16952	17010	+	59	26	21	10
nhaA	NC_000913.3	17489	18655	+	1167	5039	7128	1541
nhaR	NC_000913.3	18715	19620	+	906	951	931	693
insB1	NC_000913.3	19811	20314	-	504	317	166	156
insA1	NC_000913.3	20233	20508	-	276	166	85	78
rpsT	NC_000913.3	20815	21078	-	264	470	493	791
yaaY	NC_000913.3	21181	21399	+	219	150	94	123
ribF	NC_000913.3	21407	22348	+	942	802	674	1153
ileS	NC_000913.3	22391	25207	+	2817	2434	3169	4109
lspA	NC_000913.3	25207	25701	+	495	365	370	754
fkpB	NC_000913.3	25826	26275	+	450	400	342	537
ispH	NC_000913.3	26277	27227	+	951	949	612	842
rihC	NC_000913.3	27293	28207	+	915	437	237	86
dapB	NC_000913.3	28374	29195	+	822	643	3312	5704
carA	NC_000913.3	29651	30799	+	1149	592	330	1582
carB	NC_000913.3	30817	34038	+	3222	1625	809	5305
caiF	NC_000913.3	34300	34695	+	396	477	600	88
caiE	NC_000913.3	34781	35371	-	591	251	173	43
caiD	NC_000913.3	35377	36162	-	786	351	220	48
caiC	NC_000913.3	36271	37824	-	1554	877	420	133
caiB	NC_000913.3	37898	39115	-	1218	655	310	125
caiA	NC_000913.3	39244	40386	-	1143	547	310	216
caiT	NC_000913.3	40417	41931	-	1515	591	348	56
fixA	NC_000913.3	42403	43173	+	771	412	204	23
fixB	NC_000913.3	43188	44129	+	942	282	175	49
fixC	NC_000913.3	44180	45466	+	1287	526	222	41
fixX	NC_000913.3	45463	45750	+	288	120	43	11
yaaU	NC_000913.3	45807	47138	+	1332	658	297	30
kefF	NC_000913.3	47246	47776	+	531	311	258	43
kefC	NC_000913.3	47769	49631	+	1863	1371	873	224
folA	NC_000913.3	49823	50302	+	480	479	498	175
apaH	NC_000913.3	50380	51222	-	843	971	894	701
apaG	NC_000913.3	51229	51606	-	378	644	662	468
rsmA	NC_000913.3	51609	52430	-	822	1095	1297	731
pdxA	NC_000913.3	52427	53416	-	990	944	1089	410
surA	NC_000913.3	53416	54702	-	1287	6192	11147	2559
lptD	NC_000913.3	54755	57109	-	2355	10985	16085	3821
djlA	NC_000913.3	57364	58179	+	816	611	393	218
yabP	NC_000913.3	58474	59124	+	651	806	675	130
yabQ	NC_000913.3	59121	59279	+	159	150	209	13
rluA	NC_000913.3	59687	60346	-	660	650	646	1003
rapA	NC_000913.3	60358	63264	-	2907	2089	2319	2451
polB	NC_000913.3	63429	65780	-	2352	1390	1146	1012
araD	NC_000913.3	65855	66550	-	696	457	462	32
araA	NC_000913.3	66835	68337	-	1503	964	1491	90
araB	NC_000913.3	68348	70048	-	1701	999	968	99
araC	NC_000913.3	70387	71265	+	879	1304	1129	120
yabI	NC_000913.3	71351	72115	+	765	1000	1387	499
