Geneid	Chr	Start	End	Strand	Length
thrL	NC_000913.3	190	255	+	66
thrA	NC_000913.3	337	2799	+	2463
thrB	NC_000913.3	2801	3733	+	933
thrC	NC_000913.3	3734	5020	+	1287
yaaX	NC_000913.3	5234	5530	+	297
yaaA	NC_000913.3	5683	6459	-	777
yaaJ	NC_000913.3	6529	7959	-	1431
talB	NC_000913.3	8238	9191	+	954
mog	NC_000913.3	9306	9893	+	588
satP	NC_000913.3	9928	10494	-	567
yaaW	NC_000913.3	10643	11356	-	714
mbiA	NC_000913.3	10830	11315	+	486
yaaI	NC_000913.3	11382	11786	-	405
dnaK	NC_000913.3	12163	14079	+	1917
dnaJ	NC_000913.3	14168	15298	+	1131
insL1	NC_000913.3	15445	16557	+	1113
mokC	NC_000913.3	16751	16960	-	210
hokC	NC_000913.3	16751	16903	-	153
sokC	NC_000913.3	16952	17010	+	59
nhaA	NC_000913.3	17489	18655	+	1167
nhaR	NC_000913.3	18715	19620	+	906
insB1	NC_000913.3	19811	20314	-	504
insA1	NC_000913.3	20233	20508	-	276
rpsT	NC_000913.3	20815	21078	-	264
yaaY	NC_000913.3	21181	21399	+	219
ribF	NC_000913.3	21407	22348	+	942
ileS	NC_000913.3	22391	25207	+	2817
lspA	NC_000913.3	25207	25701	+	495
fkpB	NC_000913.3	25826	26275	+	450
ispH	NC_000913.3	26277	27227	+	951
rihC	NC_000913.3	27293	28207	+	915
dapB	NC_000913.3	28374	29195	+	822
carA	NC_000913.3	29651	30799	+	1149
carB	NC_000913.3	30817	34038	+	3222
caiF	NC_000913.3	34300	34695	+	396
caiE	NC_000913.3	34781	35371	-	591
caiD	NC_000913.3	35377	36162	-	786
caiC	NC_000913.3	36271	37824	-	1554
caiB	NC_000913.3	37898	39115	-	1218
caiA	NC_000913.3	39244	40386	-	1143
caiT	NC_000913.3	40417	41931	-	1515
fixA	NC_000913.3	42403	43173	+	771
fixB	NC_000913.3	43188	44129	+	942
fixC	NC_000913.3	44180	45466	+	1287
fixX	NC_000913.3	45463	45750	+	288
yaaU	NC_000913.3	45807	47138	+	1332
kefF	NC_000913.3	47246	47776	+	531
kefC	NC_000913.3	47769	49631	+	1863
folA	NC_000913.3	49823	50302	+	480
apaH	NC_000913.3	50380	51222	-	843
